Molecule;Code Designation;Spark Energy (J);Detonation Velocity (km/s);Drop Energy (J);NMR Shift 1;NMR Shift 2;NMR Shift 3;NMR Shift 4;NMR Shift 5;NMR Shift 6;NMR Shift 7;NMR Shift 8;NMR Shift 9;NMR Shift 10;fcss_codes
2,2',4,4',6,6'-Hexanitrooxanilide;HNO;14.58;7.34;14.22;125.0;128.4;143.6;144.7;157.1;-;-;-;-;-;6,06 6,06 0200131 0200131 0200331 0200331 0201131 0201131 0202021 0262751 0262751 0262751 0262751 0264751 0264751 1300131 3300751 3300751 3300751 3300751 3300751 3300751 7563750 7563750 7563750 7563750 7563750 7563750 7563750 7563750 7563750 7563750 7563750 7563750
2,6-bis(2,4,6-Trinitrophenylamino)-3,5-dinitropyridine;PYX;8.90;7.48;15.44;123.7;124.3;136.7;143.2;145.5;148.5;-;-;-;-;6,06 6,06 6,06N1 0200331 0200331 0200331 0200331 0200351 0200351 0262751 0262751 0262751 0262751 0264751 0264751 3300751 3300751 3300751 3300751 3300751 3300751 3300751 3300751 3600751 3600751 7563750 7563750 7563750 7563750 7563750 7563750 7563750 7563750 7563750 7563750 7563750 7563750
1,3,7,9-Tetranitrophenothiazine-5,5-dioxide;TNPTD;5.78;-;-;124.0;124.4;125.4;136.5;136.7;141.0;-;-;-;-;6,06 6,06 6,06N1S2 66,10N1S4 66,10N1S4 66B6,14N6S13 2400251 2400251 2500331 2500331 2500341 2500341 2500371 2500371 3300751 3300751 3300751 3300751 7563750 7563750 7563750 7563750
1,3,7,9-Tetranitrophenoxazine;TENPO;5.12;-;-;114.3;117.3;141.2;142.6;144.6;163.4;-;-;-;-;6,06 6,06 6,08N1Q2 66,00N1Q4 66,00N1Q4 66B6,00N6Q13 0200331 0200331 0262121 0262751 0262751 0264751 0264751 1200331 1200331 1263750 1263750 1263750 1263750 3300751 3300751 3300751 3300751 7563750 7563750 7563750 7563750
2,2',4,4',6,6'-Hexanitrodiphenylsulfide;DIPS;2.56;7.16;7.45;124.4;125.7;144.7;147.8;-;-;-;-;-;-;6,06 1100131 1100331 1101331 1162131 1162441 1300331 3302410 3302410 3302410 3302410 4103411 4103411
2,2',4,4',6,6'-Hexanitrodiphenylsulfone;DIPSO;10.54;6.77;8.44;121.1;124.1;143.5;148.5;-;-;-;-;-;-;0302110 0302110 0302110 0303760 1102760
2,2',4,4',6,6'-Hexanitrodiphenylmethane;DPM;4.10;7.14;-;40.0;123.9;129.5;147.0;150.5;-;-;-;-;-;6,06 6,06 3300751 3300751 3300751 3300751 3300751 3300751 3301330 7563750 7563750 7563750 7563750 7563750 7563750 7563750 7563750 7563750 7563750 7563750 7563750
1,2-bis(2,4,6-Trinitrophenyl)ethane;DPE;3.89;7.13;27.98;27.1;123.2;133.2;146.6;150.9;-;-;-;-;-;6,06 6,06 3300751 3300751 3300751 3300751 3300751 3300751 3302330 7563750 7563750 7563750 7563750 7563750 7563750 7563750 7563750 7563750 7563750 7563750 7563750
3,3'-Dimethyl-2,2',4,4',6,6'-hexanitrobiphenyl;BITNT;4.28;7.10;33.14;15.4;122.1;124.2;133.7;145.3;150.1;151.2;-;-;-;6,06 6,06 3300751 3300751 3300751 3300751 3300751 3300751 3301411 3301411 4162751 4162751 4162751 4162751 4164751 4164751 7563750 7563750 7563750 7563750 7563750 7563750 7563750 7563750 7563750 7563750 7563750 7563750
2,2',4,4',6,6'-Hexanitrostilbene;HNS;6.62;7.27;11.50;123.4;126.3;130.7;147.2;149.6;-;-;-;-;-;6,06 3300751 3300751 3300751 3302460 3304750 3304750 3306750 4600461 4600461 4600461 4600751 4600751 4600751 7503751 7503751 7503751 7563750 7563750 7563750 7563750 7563750 7563750
